sku,brand,quantity,price,price_if_discounted,pos_in_pg,stock,description,report_time
Vaseline Petroleum Jelly,Vaseline,50 ml,55.0,,16,0,"Vaseline® PURE PETROLEUM JELLY is the original wonder jelly. It works by creating a sealing barrier between cells, which locks in moisture and speeds up your skin’s natural recovery from dryness, helping it heal from within. Its occlusive function also allows it to protect dry, cracked skin and minor cuts, scrapes, and burns. Our jelly is triple-purified to be 100% pure",2023-02-21 12:41:08
Vaseline Lotion Deep Restore (Imported),Vaseline,300 ml,450.0,,17,0,"Healing micro-droplets of Vaseline® Jelly combined with a fast-absorbing non-greasy moisturizing formula, the result is a lotion that moisturizes to heal very dry skin, leaving it looking and feeling healthier. We believe healthy skin starts with deep-restoring moisture. Our Intensive Care Deep Restore Lotion is infused with multi-layer moisture and nutrients which penetrate the skin deep down* absorbing quickly to leave your skin feeling healthy, soft, and smooth.",2023-02-21 12:41:09
Vaseline Petroleum Jelly,Vaseline,7 ml,22.0,,18,0,"Origin: Bangladesh Manufacturer: Unilever Bangladesh Ltd. Vaseline® PURE PETROLEUM JELLY is the original wonder jelly. It works by creating a sealing barrier between cells, which locks in moisture and speeds up your skin’s natural recovery from dryness, helping it heal from within. Its occlusive function also allows it to protect dry, cracked skin and minor cuts, scrapes, and burns. Vaseline jelly is triple-purified to be 100% pure",2023-02-21 12:41:10
Vaseline Lotion Deep Restore,Vaseline,300 ml,370.0,,19,0,"Healing micro-droplets of Vaseline® Jelly combined with a fast-absorbing non-greasy moisturizing formula, the result is a lotion that moisturizes to heal very dry skin, leaving it looking and feeling healthier. We believe healthy skin starts with deep-restoring moisture. Our Intensive Care Deep Restore Lotion is infused with multi-layer moisture and nutrients which penetrate the skin deep down* absorbing quickly to leave your skin feeling healthy, soft, and smooth.",2023-02-21 12:41:10
Vaseline Blueseal Original Jelly,Vaseline,100 ml,389.0,,20,0,,2023-02-21 12:41:11
Clear Men Shampoo Deep Cleanse,Clear,170 ml,260.0,,3,26,"CLEAR Men Deep Cleanse with activated charcoal power fights against dandruff & removes germs up to 99% to get a squeaky clean and germ-free scalp, roots & hair.",2023-02-21 12:20:59
Clear Shampoo Anti Hairfall Anti Dandruff,Clear,330 ml,500.0,,4,6,"The Clear Anti Hair Fall Anti-Dandruff Shampoo is a complete two-in-one solution for your hair. It also provides nourishment to your scalp and ensures up to 95% less hair fall! The shampoo enhances the beauty of your hair and it contains ZPT, which reduces the dandruff. It also features SLES, which cleanses your scalp deeply while the silicones present in this shampoo provide lost nutrients to your hair. CLEAR offers a range of 3 shampoos, specifically designed for focusing on total scalp solutions. With regular use, the new range provides luxurious nourishment: no dryness, no greasy scalp and no visible flakes. Nutrium Oil Nourishes Scalp Formulated with Nutrium Oil, an advanced moisture-rich complex with ingredients known to be beneficial for the scalp, while also being gentle on hair. Contains niacinamide, which is known to nourish the scalp and strengthen the natural scalp barrier and vitamins C and E, antioxidants known to keep scalp healthy. Includes sunflower and other oils, which are known to help moisturize the scalp. Start Shopping Now!",2023-02-21 12:21:02
Clear Shampoo Anti Hairfall Anti Dandruff,Clear,170 ml,240.0,,5,7,"The Clear Anti Hair Fall Anti-Dandruff Shampoo is a complete two-in-one solution for your hair. It also provides nourishment to your scalp and ensures up to 95% less hair fall! The shampoo enhances the beauty of your hair and it contains ZPT, which reduces the dandruff. It also features SLES, which cleanses your scalp deeply while the silicones present in this shampoo provide lost nutrients to your hair. CLEAR offers a range of 3 shampoos, specifically designed for focusing on total scalp solutions. With regular use, the new range provides luxurious nourishment: no dryness, no greasy scalp and no visible flakes. Nutrium Oil Nourishes Scalp Formulated with Nutrium Oil, an advanced moisture-rich complex with ingredients known to be beneficial for the scalp, while also being gentle on hair. Contains niacinimide, which is known to nourish the scalp and strengthen the natural scalp barrier and vitamins C and E, antioxidants known to keep scalp healthy. Includes sunflower and other oils, which are known to help moisturize the scalp. Start Shopping Now!",2023-02-21 12:21:06
Clear Shampoo Complete Active Care Anti Dandruff,Clear,170 ml,280.0,,7,9,"Complex. It gives a smoothing effect to rough and dry hair and keeps itching at bay. Regular application of this shampoo softens and nourishes the hair, fights dandruff and avoids its recurrence, thus keeping your scalp healthy. You hair will feel soft, silky and beautiful after every wash, plus you'll see no visible flakes! The shampoo has a shelf life of 36 months and can be used daily. Start Shopping now!",2023-02-21 12:21:12
Clear Hijab Anti Limp Anti Dandruff Shampoo,Clear,180 ml,210.0,,22,5,,2023-02-21 12:21:16
Clear Shampoo Men Cool Sport Menthol Anti Dandruff,Clear,330 ml,500.0,,25,26,,2023-02-21 12:21:30
Clear Shampoo Complete Active Care Anti Dandruff,Clear,330 ml,500.0,440.0,28,5,"Complex. It gives a smoothing effect to rough and dry hair and keeps itching at bay. Regular application of this shampoo softens and nourishes the hair, fights dandruff and avoids its recurrence, thus keeping your scalp healthy. You hair will feel soft, silky and beautiful after every wash, plus you'll see no visible flakes! The shampoo has a shelf life of 36 months and can be used daily. Start Shopping now!",2023-02-21 12:21:35
Clear Shampoo Men Cool Sport Menthol Anti Dandruff,Clear,170 ml,320.0,,29,74,"Scientific studies has discovered that men’s scalp barrier is actually weaker than female’s, so more susceptible to dandruff . That's why Clear Men Cool Sport Menthol Anti Dandruff Shampoo is a hair care product, formulated especially for Men. Endorsed by International Academy of Cosmetics, Clear Men Cool Sport Menthol Anti Dandruff Shampoo contains Nutrium 10, a rich blend of 10 nutrients and botanical actives. It targets dandruff at source; and boosts scalp health to increase natural resistance against dandruff and scalp problems. Start Shopping now!",2023-02-21 12:22:06
Clear Men Shampoo Deep Cleanse,Clear,330 ml,450.0,,38,0,"CLEAR Men Deep Cleanse with activated charcoal power fights against dandruff & removes germs up to 99% to get a squeaky clean and germ-free scalp, roots & hair.",2023-02-21 12:22:07
Brylcreem Wet Look Hi-Shine Hair Gel,Brylcreem,150 ml,280.0,269.0,1,9,"Make your hair look presentable by applying this Brylcreem Wetlook Hair Styling Gel. Specially formulated to give a temporary shape to your hair leaving non-greasy and non-sticky feeling to the hands, now go express yourself in confidence. • Holding power with ultimate wet look and shine • With Fresh Hair Technology that would keep your hair smelling fresh for at least 6 hours • Helps eliminate itchiness and prevents dandruff • Does not flake nor contains alcohol • Easy wash & non-sticky. How to use: Step 1: Squeeze a small amount of the Strong gel onto your palms, Step 2: Rub between hands and apply to towel dried hair. Step 3: Getting the most out of your product: Gel applied to damp hair spreads more evenly and will give you a better structure. A little gel goes a long way so add product in small doses.",2023-02-21 12:22:37
Brylcreem Strong Hold Xtra Hold Hair Gel,Brylcreem,150 ml,280.0,,2,21,"Make your hair look presentable by applying this Brylcreem Strong Hold Hair Styling Gel. Specially formulated to give a temporary shape to your hair leaving non-greasy and non-sticky feeling to the hands, now go express yourself in confidence. • Holding power with ultimate wet look and shine • With Fresh Hair Technology that would keep your hair smelling fresh for at least 6 hours • Helps eliminate itchiness and prevents dandruff • Does not flake nor contains alcohol • Easy wash & non-sticky. How to use: Step 1: Squeeze a small amount of the Strong gel onto your palms, Step 2: Rub between hands and apply to towel dried hair. Step 3: Getting the most out of your product: Gel applied to damp hair spreads more evenly and will give you a better structure. A little gel goes a long way so add product in small doses.",2023-02-21 12:22:44
Brylcreem Xtreme Hold Ultra Strong Hold Hair Gel,Brylcreem,150 ml,280.0,245.0,3,45,"Make your hair look presentable by applying this Brylcreem Ultra Strong Hold Hair Styling Gel. Specially formulated to give a temporary shape to your hair leaving non-greasy and non-sticky feeling to the hands, now go express yourself in confidence. • Holding power with ultimate wet look and shine • With Fresh Hair Technology that would keep your hair smelling fresh for at least 6 hours • Helps eliminate itchiness and prevents dandruff • Does not flake nor contains alcohol • Easy wash & non-sticky. How to use: Step 1: Squeeze a small amount of the Strong gel onto your palms, Step 2: Rub between hands and apply to towel dried hair. Step 3: Getting the most out of your product: Gel applied to damp hair spreads more evenly and will give you a better structure. A little gel goes a long way so add product in small doses.",2023-02-21 12:22:55
Brylcreem Anti Dandruff,Brylcreem,140 ml,455.0,,4,0,,2023-02-21 12:22:56
Brylcreem Moisturising Hairdressing Cream,Brylcreem,125 ml,415.0,,5,0,,2023-02-21 12:22:56
Brylcreem Original Nourishing Styling Hair Cream,Brylcreem,250 ml,380.0,,6,0,"Brylcreem Original Non-greasy, enriched with Aqua-OXY for a lasting wet-look hold effect while streghtening hair from within. • Brylcreem Original Hairdressing product has been styling men since 1928. • It gives you gives strong hair and a healthy scalp and looks good on short, sharp masculine styles. • It is designed to penetrate to give strong hair whilst maintaining a healthy scalp. How to use Step 1: Wet hair and rub through a small amount of Brylcreem Original to style and condition your hair. Step 2: Getting the most out of your product: Try applying to dry hair for a lighter gloss and hold. For the iconic swept back look, try using a comb to keep hair looking smart.",2023-02-21 12:22:57
Brylcreem Anti Dandruff Style Hair Cream,Brylcreem,125 ml,480.0,,7,0,,2023-02-21 12:22:58
Brylcreem Anti Dandruff Scalp Care Style Hair Cream,Brylcreem,250 ml,380.0,,8,0,"• Helps eliminate itchiness and prevents dandruff. • Styling cream anti-dandruff scalp care. • Lasts for up to 8 hours • Does not flake nor contains alcohol. How to use Step 1: Wet hair and rub through a small amount of Brylcreem Original to style and condition your hair. Step 2: Getting the most out of your product: Try applying to dry hair for a lighter gloss and hold. For the iconic swept back look, try using a comb to keep hair looking smart.",2023-02-21 12:22:58
Horlicks Lite Health And Nutrition Drink Jar,Horlicks,330 gm,440.0,,4,4,"Horlicks Lite: 0 Cholesterol, 0 added sugar Nourishment for Active Adults Horlicks Lite contains the goodness of malted barley with zero cholesterol[2], high protein[2] and no added sugar[3].. Everyday Lifestyle and bad eating habits can lead to cell damage. Horlicks Lite Enriched with a range of minerals & 6 antioxidant nutrients protect body cells from damage and helps cell repair. Horlicks Lite is recommended for age 19 years and onward. Origin: Bangladesh.",2023-02-21 12:23:21
Horlicks Diabetes Plus,Horlicks,400 gm,1030.0,,5,6,Horlicks Diabetes Plus contains a Dual Blend High Fibre formula in addition to high protein and no added sugar. Making it a part of your daily diet will not only slow down sugar absorption but also promote satiety. · Helps Manage Blood Sugar; Helps Reduce Cholesterol · Supports weight management · Zero Added Sugar; Dual Blend High Fibre · FOOD FOR SPECIAL DIETARY USE - Food for helping manage blood glucose,2023-02-21 12:23:26
Horlicks Health And Nutrition Drink Chocolate Jar (Free Milk Powder 50 gm),Horlicks,500 gm,375.0,,13,0,,2023-02-21 12:23:27
Horlicks Chocolate Flavour Jar,Horlicks,500 gm,415.0,,17,0,"Filled with a wide range of vitamins and minerals including as Calcium, Iron, Zinc, Phosphorous, Vitamins A, C, E, D, B1, B2, B6, B12 - Horlicks is a nourishing beverage that helps support your child’s growth. Produced from a mix of malted barley, wheat and milk, this unrivaled tasty recipe has been providing nutrition to people for many years. Horlicks helps to make kids Taller, Stronger and Sharper! Now available in delicious Chocolate Flavor! Origin: Bangladesh.",2023-02-21 12:23:28
Pond's Face Wash Bright Beauty,Pond,50 gm,120.0,,1,90,"Is your true complexion lost or hidden? Over time dead skin cells accumulate on your skin, hiding your true complexion, making you look dull and dark. New and improved Pond’s White Beauty Face Wash. 1st ever facewash with Double Brightening Action to renew your complexion every day. Now get the clinically proven benefits with Pond’s. Your complexion is hidden under layers of dead skin cells and pollution. Pond’s White Beauty Face Wash with advanced vitamin B3+ formula will cleanse your skin and gives you spotless glow. It goes deep to clean dead skin cells and uncovers millions of new cells- so that you can get your hidden complexion back. Infused with vitamin B3+, it removes layers of dead skin cells and it strengthens skin’s natural renewal process, revealing new bright cells. Renew your complexion with everyday wash. Clinically proven to give you glow from the first wash. Its double brightness action wipes out dead skin cells so that you can say goodbye to skin dullness. This helps bring out the complexion locked inside which shows clearly after every use of Pond’s White Beauty Facewash. This is truly your solution to a spot less and glowing skin. Buy now! Dead skin removal Spot less glow Fades dark spots Advanced B3+ formula Clinically proven facewash With Advanced Vitamin B3",2023-02-21 12:24:34
Pond's Face Wash Scrub,Pond,100 gm,165.0,,2,4,,2023-02-21 12:24:37
Pond's Bright Beauty Spot-Less Glow Cream,Pond,35 gm,175.0,,3,7,,2023-02-21 12:24:42
Ponds Super Light Gel,Pond,100 gm,420.0,,4,0,"Super lightweight and non-oily gel formula Moisturises skin with 24 hour moisture lock Ideal for all year round use. UV Protection : No. Dermatologist Tested : Yes Spreads easily and instantly absorbs Leaves skin soft, with a water-fresh glow Hyaluronic Acid and Vitamin E nriched nourishing care",2023-02-21 12:24:43
Ponds Super Light Gel,Pond,49 gm,230.0,,5,0,"Looking for 24 hours of moisturization for your skin? Look no further! Introducing the all new Pond’s Super Light Gel your go-to moisturizer for all seasons. Infused with the goodness of Hyaluronic Acid, Vitamin E and Glycerine, this super light moisturizer absorbs faster than regular creams and gives 24-hour hydration for a water-fresh glow! It helps restore the moisture balance to keep your skin soft and smooth. Its lightweight formula absorbs into the skin instantly without leaving any sticky feeling, making it ideal for all seasons, even in scorching summers. Infused with moisture-boosting Hyaluronic Acid this moisturiser improves your skin’s natural moisture holding capacity, making it soft, smooth and bouncy from within. Its non-oily formula keeps oiliness and stickiness at bay, keeping your skin feeling fresh and glowing from AM to PM. The 24-hour moisture lock technology locks in moisture deep within your skin all day long. Its super lightweight formula spreads easily on skin making it easy to apply. For all skin types and for all seasons, this moisturizer is the perfect fit for you throughout the year. Say goodbye to your moisturizing woes with Pond’s Institute’s first ever, lightest gel formula the all new Pond’s Super Light Gel.",2023-02-21 12:24:43
Ponds Moisturising Body Lotion,Pond,200 ml,240.0,,6,0,"With vital beauty oils and ten skin nutrients, this moisturising cream prevents dry skin by leaving it soft and supple. The glycerin works on giving you softness from inside and a glowing skin outside while you never have to worry about dry lines and patches again. You will definitely love to touch your soft and smooth skin after the Pond’s moisturising cold cream has done it’s magic. Buy this cream in a compact 100ml pack, right away.",2023-02-21 12:24:44
Pond's Flawless White Deep Whitening Facial Foam,Pond,100 gm,350.0,,7,0,"• Increase your skin’s radiance in 7 days with a formula that brightens and clears up your complexion • Created with GenActive technology, this breakthrough formula reaches deep into your skin to regulate and adapt to the DNA that produces melanin • First ever skin-lightening cream that adapts to your skin • Removes all traces of oil and grease from your skin making it squeaky clean • Infused with nourishing agents that prevent your skin from over drying",2023-02-21 12:24:44
Pond's Magic BB Powder,Pond,50 gm,180.0,,8,0,"Pond's BB Powder is a tinted pressed powder that promises to control oil and provide light coverage. BB Powder can provide smoother and more radiant on your face instantly. You will love sprinkling on your faces for a tone up (brightening effect) and to get rid of oil. Let your skin looks more natural beautiful and smooth like Korean girls' style. • Keeps skin feeling soft, fresh and comfortable / Clinically proven to be safe, gentle and mild • Fine texture of BB powder helps to conceal acne scar and blemish on the face. • Allergy and dermatologist-tested • Absorbs excess oil on your face. • Double UV Protection protect the skin from UVA and UVB rays from the sunlight. How to use Step 1: Turn the cap clockwise and apply a little powder to the back of your hand. Step 2: Using a brush or your fingertips, apply the powder on the face and neck, spread carefully. Step 3: Remove excess powder with a dry brush or cotton pad.",2023-02-21 12:24:45
Pond's Facewash Oil Control,Pond,100 gm,190.0,163.0,9,20,,2023-02-21 12:24:53
Pond's Pure White Mineral Clay Anti Pollution Purity Face Wash Foam,Pond,90 gm,260.0,,10,5,,2023-02-21 12:24:57
Pond's White Beauty Mineral Clay Face Wash Foam,Pond,90 gm,280.0,,11,10,,2023-02-21 12:25:03
Pond's Men Facewash Acne Solution,Pond,100 gm,280.0,,12,18,,2023-02-21 12:25:10
Pond's Men Energy Charge Face Wash,Pond,100 gm,250.0,,13,14,,2023-02-21 12:25:17
Pond's Men Lightning Oil Clear Face Wash,Pond,50 gm,160.0,139.0,14,39,,2023-02-21 12:25:31
Pond's Men Facewash Lightning Oil Clear,Pond,100 gm,280.0,205.0,15,73,,2023-02-21 12:25:53
Pond's Face Wash Bright Beauty,Pond,100 gm,220.0,187.0,16,3,,2023-02-21 12:25:57
Pond's Bright Beauty Spot-less Glow Day Cream,Pond,23 gm,125.0,,17,9,,2023-02-21 12:26:03
Pond's Pure Detox Face Wash,Pond,100 gm,220.0,199.0,18,43,"Origin: India Manufacturer: Unilever ltd. Ponds’ pure white facial foam contains activated carbon charcoal. This deep cleanser extracts out pollutants and impurities, leaving skin so clean and pure, it glows! Ingredients: Myristic acid, glycerine, palmitic acid, stearic acid, charcoal powder, carbone perfume, water, propylene glycol, glycerol, potassium hydroxide, lauric acid,disodium EDTA, niacinamide.",2023-02-21 12:26:20
Pond's Face Wash Daily,Pond,100 gm,150.0,129.0,19,9,,2023-02-21 12:26:26
Pond's Face Wash White Beauty,Pond,50 gm,120.0,,20,3,,2023-02-21 12:26:31
Pond's Face Wash Daily,Pond,50 gm,80.0,,21,3,,2023-02-21 12:26:34
Dove Beauty Bar White,Dove,135 gm,195.0,,1,66,"DOVE White Beauty Bar combines a gentle cleansing formula with DOVE’s signature ¼ moisturizing cream to give you softer, smoother and more glowing skin. The mild cleansers help your skin to retain its natural moisture rather than stripping it away. This DOVE bar even helps to replenish nutrients that are lost during the cleansing process – where a regular soap bar might leave your skin feeling dry and tight, a DOVE White Bar leaves it feeling soft and smooth. It’s not a soap – it’s a beauty bar Washing with regular soap can cause skin to feel dry, tight and irritated as some cleansing ingredients strip skin of essential nutrients. What makes DOVE different? Its gentle cleansers help your skin retain its natural moisture and its mild formula is kind to your skin. DOVE is the No.1 Brand recommended by dermatologists in India. For best results, lather up your DOVE Beauty Bar and massage the smooth, creamy lather over your face and body before rinsing thoroughly. For soft, smooth hands, you can also enjoy regular hand-washing throughout the day with your DOVE bar. Soap may dry out your hands, but the classic moisturizing formula of DOVE bars will leave skin softer, smoother and more glowing.",2023-02-21 12:28:26
Dove Beauty Bar Pink,Dove,135 gm,195.0,,2,68,"DOVE Pink Beauty Bar combines a gentle cleansing formula with DOVE’s signature ¼ moisturizing cream to give you softer, smoother and more glowing skin. The mild cleansers help your skin to retain its natural moisture rather than stripping it away. This DOVE bar even helps to replenish nutrients that are lost during the cleansing process – where a regular soap bar might leave your skin feeling dry and tight, a DOVE Pink Bar leaves it feeling soft and smooth. It’s not a soap – it’s a beauty bar Washing with regular soap can cause skin to feel dry, tight and irritated as some cleansing ingredients strip skin of essential nutrients. What makes DOVE different? Its gentle cleansers help your skin retain its natural moisture and its mild formula is kind to your skin. DOVE is the No.1 Brand recommended by dermatologists in India. For best results, lather up your DOVE Beauty Bar and massage the smooth, creamy lather over your face and body before rinsing thoroughly. For soft, smooth hands, you can also enjoy regular hand-washing throughout the day with your DOVE bar. Soap may dry out your hands, but the classic moisturizing formula of DOVE bars will leave skin softer, smoother and more glowing. Origin: Bangladesh.",2023-02-21 12:28:53
Dove Beauty Bar White,Dove,90 gm,140.0,,3,41,"DOVE White Beauty Bar combines a gentle cleansing formula with DOVE’s signature ¼ moisturizing cream to give you softer, smoother and more glowing skin. The mild cleansers help your skin to retain its natural moisture rather than stripping it away. This DOVE bar even helps to replenish nutrients that are lost during the cleansing process – where a regular soap bar might leave your skin feeling dry and tight, a DOVE White Bar leaves it feeling soft and smooth. It’s not a soap – it’s a beauty bar Washing with regular soap can cause skin to feel dry, tight and irritated as some cleansing ingredients strip skin of essential nutrients. What makes DOVE different? Its gentle cleansers help your skin retain its natural moisture and its mild formula is kind to your skin. DOVE is the No.1 Brand recommended by dermatologists in India. For best results, lather up your DOVE Beauty Bar and massage the smooth, creamy lather over your face and body before rinsing thoroughly. For soft, smooth hands, you can also enjoy regular hand-washing throughout the day with your DOVE bar. Soap may dry out your hands, but the classic moisturizing formula of DOVE bars will leave skin softer, smoother and more glowing.",2023-02-21 12:29:10
Dove Shampoo Healthy Grow,Dove,170 ml,250.0,,4,15,,2023-02-21 12:29:18
Dove Rich Nourishment Body Cream,Dove,150 ml,400.0,,5,2,"• 48 Hours of Intensive Moisturization with no greasy feel, offers dry skin relief after frequent hand washing • Ultra Rich, Everyday Moisturizer with a fresh and clean scent. Rich, creamy formula helps to give you beautifully soft skin • Enriched with Nutrition, our unique dual-action moisturizing complex combines natural skin nutrients and essential oil goodness to both nourish the deeper layers of skin while preventing moisture loss from the surface • For Face, Hands and Body and especially heels, elbows, and knees where dry skin needs extra attention • All-purpose cream for all skin types • Perfect for on-the-go skincare How to Use: Step 1: Dove Rich Nourishment Body Cream is best used after a bath or shower, morning or night (or both). Step 2: Massage the rich cream generously into your skin. Pay particular attention to any dry areas like heels, knees and elbows. Step 3: When you come to massaging in your body cream, it’ll sink into your skin even better, to leave it beautifully radiant. Use as part of your daily skincare routine for smooth, silky skin.",2023-02-21 12:29:22
Dove Beauty Cream,Dove,150 ml,699.0,,7,16,,2023-02-21 12:29:31
Dove Silky Cream,Dove,300 ml,889.0,,8,2,,2023-02-21 12:29:34
Dove Original Moisturising Cream,Dove,50 ml,249.0,,9,1,,2023-02-21 12:29:38
Dove Conditioner Intense Repair,Dove,175 ml,280.0,,11,34,,2023-02-21 12:29:58
Dove Intensive Cream,Dove,75 ml,319.0,,12,8,,2023-02-21 12:30:05
Dove Shampoo Hairfall Rescue,Dove,170 ml,250.0,,13,4,,2023-02-21 12:30:13
Dove Beauty Cream,Dove,75 ml,375.0,,14,1,Origin: England,2023-02-21 12:30:19
Dove Shampoo Oxygen Moisture,Dove,340 ml,470.0,,15,11,"Dove oxygen moisture shampoo uses lightweight oxygen-infused moisturizing ingredients to bring back smoothness while giving hair up to 95% more voluminous look. It is specifically formulated for dry, thin hair. Combine with Dove Oxygen Moisture conditioner for best results",2023-02-21 12:30:29
Dove Shampoo Intense Repair,Dove,170 ml,250.0,,17,3,,2023-02-21 12:30:33
Dove Shampoo Intense Repair,Dove,330 ml,470.0,376.0,18,9,"Dove Intense Repair Shampoo with Keratin Actives helps fortify protein at the cellular level, reduces breakage and gives you strong hair. Enjoy free-flowing lustrous locks with unbeatable damage repair.",2023-02-21 12:30:41
Dove Beauty Bar Pink,Dove,90 gm,140.0,,19,8,"DOVE Pink Beauty Bar combines a gentle cleansing formula with DOVE’s signature ¼ moisturizing cream to give you softer, smoother and more glowing skin. The mild cleansers help your skin to retain its natural moisture rather than stripping it away. This DOVE bar even helps to replenish nutrients that are lost during the cleansing process – where a regular soap bar might leave your skin feeling dry and tight, a DOVE Pink Bar leaves it feeling soft and smooth. It’s not a soap – it’s a beauty bar Washing with regular soap can cause skin to feel dry, tight and irritated as some cleansing ingredients strip skin of essential nutrients. What makes DOVE different? Its gentle cleansers help your skin retain its natural moisture and its mild formula is kind to your skin. DOVE is the No.1 Brand recommended by dermatologists in India. For best results, lather up your DOVE Beauty Bar and massage the smooth, creamy lather over your face and body before rinsing thoroughly. For soft, smooth hands, you can also enjoy regular hand-washing throughout the day with your DOVE bar. Soap may dry out your hands, but the classic moisturizing formula of DOVE bars will leave skin softer, smoother and more glowing.",2023-02-21 12:30:51
Dove Conditioner Hair Fall Rescue,Dove,175 ml,290.0,,20,4,,2023-02-21 12:30:58
Dove Shampoo Nourishing Oil Care,Dove,170 ml,250.0,,21,14,"Dove Nourishing Oil Care Shampoo is infused with Vita Oils that instantly helps tame frizzy, unruly hair and, with continuous use, provide nourishment for healthier hair.",2023-02-21 12:31:10
Dove Shampoo Nourishing Oil Care,Dove,340 ml,470.0,376.0,22,5,"Dove Nourishing Oil Care Shampoo is infused with Vita Oils that instantly helps tame frizzy, unruly hair and, with continuous use, provide nourishment for healthier hair.",2023-02-21 12:31:17
Dove Shampoo Hairfall Rescue,Dove,650 ml,740.0,,23,3,"Dove Hair Fall Rescue Shampoo with Nutrilock actives deeply nourishes damaged hair from roots up, making hair stronger and reducing hairfall by up to 98%*. Combine with Dove Hairfall Rescue Conditioner every time you shampoo for best results.",2023-02-21 12:31:23
Dove Face Wash Beauty Moisture,Dove,50 ml,165.0,,24,1,,2023-02-21 12:31:27
Dove Nourishing Oil Care Shampoo (Free Dove Intense Repair Conditioner 50 ml),Dove,340 ml,450.0,,25,0,,2023-02-21 12:31:28
Dove Shampoo Intense Repair (Free Dove Intense Repair Conditioner 50 ml),Dove,340 ml,470.0,,26,0,,2023-02-21 12:31:29
Dove Shampoo Healthy Grow (Free Dove Intense Repair Conditioner 50 ml),Dove,340 ml,470.0,,27,0,,2023-02-21 12:31:29
Dove Original Body Spray,Dove,150 ml,280.0,,28,50,,2023-02-21 12:32:03
Dove Go Fresh Body Spray,Dove,250 ml,695.0,,29,50,,2023-02-21 12:32:45
Clinic Plus Shampoo Strong and Long,Clinic,340 ml,450.0,,1,3,,2023-02-21 12:33:09
Clinic Plus Shampoo Strong and Long,Clinic,170 ml,170.0,,3,0,,2023-02-21 12:33:09
Knorr Soup Thai,Knorr,28 gm,40.0,,1,264,"Origin: Bangladesh Manufacturer: Unilever Bangladesh Ltd. Classic Thai soup with carefully chosen real chicken and the best-quality vegetables. Just add one egg and enjoy restaurant- like taste at home. No added preservatives Low-fat. Halal certified Ingredients: Refines flour (with gluten),sugar, salt, soy protein, dehydrated chicken meat, hydrolyzed vegetable protein, hydrogenated vegetable oil, flavor enhancer, onion powder, garlic powder, red chili flakes, spices, acidity regulator, ginger bits, dehydrated leeks, shrimp powder, tomato powder, lemongrass flavor. Nutrition: Energy, Protein, fat (saturated and trans) , carbohydrates (sugar and dietary fibre), sodium",2023-02-21 12:35:35
Knorr Soup Chicken Corn,Knorr,24 gm,45.0,,2,361,"Origin: Bangladesh Manufacturer: Unilever Bangladesh Ltd. Classic chicken corn soup with carefully chosen real chicken and the best-quality vegetables. Just add one egg and enjoy restaurant-like taste at home. No added preservatives Low-fat. Halal certified Ingredients: Corn starch, sugar, salt, dehydrated corn bits, soy protein, dehydrated chicken meat, hydrolyzed vegetable protein, hydrogenated vegetable oil, flavour enhancer, dehydrated leeks, spices, chicken and corn flavours (Nature identical and artificial) May contain a small amount of gluten, shrimp, celery, mustard, milk and nuts. Nutrition: Energy, Protein, fat(saturated and trans) , carbohydrates (sugar and dietary fibre), sodium",2023-02-21 12:37:25
Knorr Soup Hot and Sour Chicken,Knorr,31 gm,45.0,,3,379,"Origin: Bangladesh Manufacturer: Unilever Bangladesh Ltd. Classic hot and sour chicken corn soup with carefully chosen real chicken and the best-quality vegetables.Just add one egg and enjoy restaurant- like taste at home. No added preservatives Low-fat. Halal certified Ingredients: Corn starch, sugar, salt, spices, flavour enhancer, soy protein, acidity regulator, soy protein, dehydrated chicken meat, hydrolyzed vegetable protein, hydrogenated vegetable oil, beat juice powder, red chili flakes, dehydrated onion powder, dehydrated garlic powder, dehydrated tomato powder, colour, vinegar, tomato and chicken flavours ((Nature identical and artificial)) May contain a small amount of gluten, shrimp, celery, mustard, milk and nuts. Nutrition: Energy, Protein, fat(saturated and trans) , carbohydrates (sugar and dietary fibre), sodium",2023-02-21 12:39:14
Knorr Cubes Chicken Soup Stock 4 pcs,Knorr,72 gm,100.0,,4,20,,2023-02-21 12:39:24
Knorr Soup Thai 28 gm,Knorr,5 pcs,200.0,,5,70,,2023-02-21 12:39:48
Knorr Soup Chicken Corn 24 gm,Knorr,5 pcs,225.0,,7,60,,2023-02-21 12:40:10
Knorr Crispy Fried Chicken Mix,Knorr,75 gm,100.0,,8,62,"Swap reconstituted meat for homemade chicken with Knorr Crispy Fried Chicken mix. You can also use it to prepare other delicious fried snacks e.g. onion rings, potato chop etc. Prepare restaurant like fried chicken at home with this mix and feed your children have a healthier snack!",2023-02-21 12:40:33
Knorr Hot and Sour Chicken Soup 31 gm,Knorr,5 pcs,225.0,,9,24,,2023-02-21 12:40:46
Knorr All-In-One Chicken Seasoning Powder,Knorr,800 gm,590.0,,11,1,,2023-02-21 12:40:50
Knorr Classic Thai Instant Tomato Soup (Buy 2 Get 1 Free),Knorr,12 gm,60.0,,12,72,"With its zesty Thai flavors, Knorr Instant Thai Cup soup gives you a hassle-free solution for your small hunger packs! Just have a cup of hot Thai Tomato soup, made in the blink of an eye, and light up your taste buds with its really tasty flavor!",2023-02-21 12:41:22
